id,name,code,code_name,division_type,short_code_name,order,is_usable,master_province_id
1,Quận Ba Đình,1,quan_ba_dinh,quận,ba_dinh,1,true,1
2,Quận Hoàn Kiếm,2,quan_hoan_kiem,quận,hoan_kiem,2,true,1
3,Quận Tây Hồ,3,quan_tay_ho,quận,tay_ho,3,true,1
4,Quận Long Biên,4,quan_long_bien,quận,long_bien,4,true,1
5,Quận Cầu Giấy,5,quan_cau_giay,quận,cau_giay,5,true,1
6,Quận Đống Đa,6,quan_dong_da,quận,dong_da,6,true,1
7,Quận Hai Bà Trưng,7,quan_hai_ba_trung,quận,hai_ba_trung,7,true,1
8,Quận Hoàng Mai,8,quan_hoang_mai,quận,hoang_mai,8,true,1
9,Quận Thanh Xuân,9,quan_thanh_xuan,quận,thanh_xuan,9,true,1
10,Huyện Sóc Sơn,16,huyen_soc_son,huyện,soc_son,16,true,1
11,Huyện Đông Anh,17,huyen_dong_anh,huyện,dong_anh,17,true,1
12,Huyện Gia Lâm,18,huyen_gia_lam,huyện,gia_lam,18,true,1
13,Quận Nam Từ Liêm,19,quan_nam_tu_liem,quận,nam_tu_liem,19,true,1
14,Huyện Thanh Trì,20,huyen_thanh_tri,huyện,thanh_tri,20,true,1
15,Quận Bắc Từ Liêm,21,quan_bac_tu_liem,quận,bac_tu_liem,21,true,1
16,Huyện Mê Linh,250,huyen_me_linh,huyện,me_linh,250,true,1
17,Quận Hà Đông,268,quan_ha_dong,quận,ha_dong,268,true,1
18,Thị xã Sơn Tây,269,thi_xa_son_tay,thị xã,son_tay,269,true,1
19,Huyện Ba Vì,271,huyen_ba_vi,huyện,ba_vi,271,true,1
20,Huyện Phúc Thọ,272,huyen_phuc_tho,huyện,phuc_tho,272,true,1
21,Huyện Đan Phượng,273,huyen_dan_phuong,huyện,dan_phuong,273,true,1
22,Huyện Hoài Đức,274,huyen_hoai_duc,huyện,hoai_duc,274,true,1
23,Huyện Quốc Oai,275,huyen_quoc_oai,huyện,quoc_oai,275,true,1
24,Huyện Thạch Thất,276,huyen_thach_that,huyện,thach_that,276,true,1
25,Huyện Chương Mỹ,277,huyen_chuong_my,huyện,chuong_my,277,true,1
26,Huyện Thanh Oai,278,huyen_thanh_oai,huyện,thanh_oai,278,true,1
27,Huyện Thường Tín,279,huyen_thuong_tin,huyện,thuong_tin,279,true,1
28,Huyện Phú Xuyên,280,huyen_phu_xuyen,huyện,phu_xuyen,280,true,1
29,Huyện Ứng Hòa,281,huyen_ung_hoa,huyện,ung_hoa,281,true,1
30,Huyện Mỹ Đức,282,huyen_my_duc,huyện,my_duc,282,true,1
31,Thành phố Hà Giang,24,thanh_pho_ha_giang,thành phố,ha_giang,24,true,2
32,Huyện Đồng Văn,26,huyen_dong_van,huyện,dong_van,26,true,2
33,Huyện Mèo Vạc,27,huyen_meo_vac,huyện,meo_vac,27,true,2
34,Huyện Yên Minh,28,huyen_yen_minh,huyện,yen_minh,28,true,2
35,Huyện Quản Bạ,29,huyen_quan_ba,huyện,quan_ba,29,true,2
36,Huyện Vị Xuyên,30,huyen_vi_xuyen,huyện,vi_xuyen,30,true,2
37,Huyện Bắc Mê,31,huyen_bac_me,huyện,bac_me,31,true,2
38,Huyện Hoàng Su Phì,32,huyen_hoang_su_phi,huyện,hoang_su_phi,32,true,2
39,Huyện Xín Mần,33,huyen_xin_man,huyện,xin_man,33,true,2
40,Huyện Bắc Quang,34,huyen_bac_quang,huyện,bac_quang,34,true,2
41,Huyện Quang Bình,35,huyen_quang_binh,huyện,quang_binh,35,true,2
42,Thành phố Cao Bằng,40,thanh_pho_cao_bang,thành phố,cao_bang,40,true,3
43,Huyện Bảo Lâm,42,huyen_bao_lam,huyện,bao_lam,42,true,3
44,Huyện Bảo Lạc,43,huyen_bao_lac,huyện,bao_lac,43,true,3
45,Huyện Hà Quảng,45,huyen_ha_quang,huyện,ha_quang,45,true,3
46,Huyện Trùng Khánh,47,huyen_trung_khanh,huyện,trung_khanh,47,true,3
47,Huyện Hạ Lang,48,huyen_ha_lang,huyện,ha_lang,48,true,3
48,Huyện Quảng Hòa,49,huyen_quang_hoa,huyện,quang_hoa,49,true,3
49,Huyện Hoà An,51,huyen_hoa_an,huyện,hoa_an,51,true,3
50,Huyện Nguyên Bình,52,huyen_nguyen_binh,huyện,nguyen_binh,52,true,3
51,Huyện Thạch An,53,huyen_thach_an,huyện,thach_an,53,true,3
52,Thành Phố Bắc Kạn,58,thanh_pho_bac_kan,thành phố,bac_kan,58,true,4
53,Huyện Pác Nặm,60,huyen_pac_nam,huyện,pac_nam,60,true,4
54,Huyện Ba Bể,61,huyen_ba_be,huyện,ba_be,61,true,4
55,Huyện Ngân Sơn,62,huyen_ngan_son,huyện,ngan_son,62,true,4
56,Huyện Bạch Thông,63,huyen_bach_thong,huyện,bach_thong,63,true,4
57,Huyện Chợ Đồn,64,huyen_cho_don,huyện,cho_don,64,true,4
58,Huyện Chợ Mới,65,huyen_cho_moi,huyện,cho_moi,65,true,4
59,Huyện Na Rì,66,huyen_na_ri,huyện,na_ri,66,true,4
60,Thành phố Tuyên Quang,70,thanh_pho_tuyen_quang,thành phố,tuyen_quang,70,true,5
61,Huyện Lâm Bình,71,huyen_lam_binh,huyện,lam_binh,71,true,5
62,Huyện Na Hang,72,huyen_na_hang,huyện,na_hang,72,true,5
63,Huyện Chiêm Hóa,73,huyen_chiem_hoa,huyện,chiem_hoa,73,true,5
64,Huyện Hàm Yên,74,huyen_ham_yen,huyện,ham_yen,74,true,5
65,Huyện Yên Sơn,75,huyen_yen_son,huyện,yen_son,75,true,5
66,Huyện Sơn Dương,76,huyen_son_duong,huyện,son_duong,76,true,5
67,Thành phố Lào Cai,80,thanh_pho_lao_cai,thành phố,lao_cai,80,true,6
68,Huyện Bát Xát,82,huyen_bat_xat,huyện,bat_xat,82,true,6
69,Huyện Mường Khương,83,huyen_muong_khuong,huyện,muong_khuong,83,true,6
70,Huyện Si Ma Cai,84,huyen_si_ma_cai,huyện,si_ma_cai,84,true,6
71,Huyện Bắc Hà,85,huyen_bac_ha,huyện,bac_ha,85,true,6
72,Huyện Bảo Thắng,86,huyen_bao_thang,huyện,bao_thang,86,true,6
73,Huyện Bảo Yên,87,huyen_bao_yen,huyện,bao_yen,87,true,6
74,Thị xã Sa Pa,88,thi_xa_sa_pa,thị xã,sa_pa,88,true,6
75,Huyện Văn Bàn,89,huyen_van_ban,huyện,van_ban,89,true,6
76,Thành phố Điện Biên Phủ,94,thanh_pho_dien_bien_phu,thành phố,dien_bien_phu,94,true,7
77,Thị Xã Mường Lay,95,thi_xa_muong_lay,thị xã,muong_lay,95,true,7
78,Huyện Mường Nhé,96,huyen_muong_nhe,huyện,muong_nhe,96,true,7
79,Huyện Mường Chà,97,huyen_muong_cha,huyện,muong_cha,97,true,7
80,Huyện Tủa Chùa,98,huyen_tua_chua,huyện,tua_chua,98,true,7
81,Huyện Tuần Giáo,99,huyen_tuan_giao,huyện,tuan_giao,99,true,7
82,Huyện Điện Biên,100,huyen_dien_bien,huyện,dien_bien,100,true,7
83,Huyện Điện Biên Đông,101,huyen_dien_bien_dong,huyện,dien_bien_dong,101,true,7
84,Huyện Mường Ảng,102,huyen_muong_ang,huyện,muong_ang,102,true,7
85,Huyện Nậm Pồ,103,huyen_nam_po,huyện,nam_po,103,true,7
86,Thành phố Lai Châu,105,thanh_pho_lai_chau,thành phố,lai_chau,105,true,8
87,Huyện Tam Đường,106,huyen_tam_duong,huyện,tam_duong,106,true,8
88,Huyện Mường Tè,107,huyen_muong_te,huyện,muong_te,107,true,8
89,Huyện Sìn Hồ,108,huyen_sin_ho,huyện,sin_ho,108,true,8
90,Huyện Phong Thổ,109,huyen_phong_tho,huyện,phong_tho,109,true,8
91,Huyện Than Uyên,110,huyen_than_uyen,huyện,than_uyen,110,true,8
92,Huyện Tân Uyên,111,huyen_tan_uyen,huyện,tan_uyen,111,true,8
93,Huyện Nậm Nhùn,112,huyen_nam_nhun,huyện,nam_nhun,112,true,8
94,Thành phố Sơn La,116,thanh_pho_son_la,thành phố,son_la,116,true,9
95,Huyện Quỳnh Nhai,118,huyen_quynh_nhai,huyện,quynh_nhai,118,true,9
96,Huyện Thuận Châu,119,huyen_thuan_chau,huyện,thuan_chau,119,true,9
97,Huyện Mường La,120,huyen_muong_la,huyện,muong_la,120,true,9
98,Huyện Bắc Yên,121,huyen_bac_yen,huyện,bac_yen,121,true,9
99,Huyện Phù Yên,122,huyen_phu_yen,huyện,phu_yen,122,true,9
100,Huyện Mộc Châu,123,huyen_moc_chau,huyện,moc_chau,123,true,9
101,Huyện Yên Châu,124,huyen_yen_chau,huyện,yen_chau,124,true,9
102,Huyện Mai Sơn,125,huyen_mai_son,huyện,mai_son,125,true,9
103,Huyện Sông Mã,126,huyen_song_ma,huyện,song_ma,126,true,9
104,Huyện Sốp Cộp,127,huyen_sop_cop,huyện,sop_cop,127,true,9
105,Huyện Vân Hồ,128,huyen_van_ho,huyện,van_ho,128,true,9
106,Thành phố Yên Bái,132,thanh_pho_yen_bai,thành phố,yen_bai,132,true,10
107,Thị xã Nghĩa Lộ,133,thi_xa_nghia_lo,thị xã,nghia_lo,133,true,10
108,Huyện Lục Yên,135,huyen_luc_yen,huyện,luc_yen,135,true,10
109,Huyện Văn Yên,136,huyen_van_yen,huyện,van_yen,136,true,10
110,Huyện Mù Căng Chải,137,huyen_mu_cang_chai,huyện,mu_cang_chai,137,true,10
111,Huyện Trấn Yên,138,huyen_tran_yen,huyện,tran_yen,138,true,10
112,Huyện Trạm Tấu,139,huyen_tram_tau,huyện,tram_tau,139,true,10
113,Huyện Văn Chấn,140,huyen_van_chan,huyện,van_chan,140,true,10
114,Huyện Yên Bình,141,huyen_yen_binh,huyện,yen_binh,141,true,10
115,Thành phố Hòa Bình,148,thanh_pho_hoa_binh,thành phố,hoa_binh,148,true,11
116,Huyện Đà Bắc,150,huyen_da_bac,huyện,da_bac,150,true,11
117,Huyện Lương Sơn,152,huyen_luong_son,huyện,luong_son,152,true,11
118,Huyện Kim Bôi,153,huyen_kim_boi,huyện,kim_boi,153,true,11
119,Huyện Cao Phong,154,huyen_cao_phong,huyện,cao_phong,154,true,11
120,Huyện Tân Lạc,155,huyen_tan_lac,huyện,tan_lac,155,true,11
121,Huyện Mai Châu,156,huyen_mai_chau,huyện,mai_chau,156,true,11
122,Huyện Lạc Sơn,157,huyen_lac_son,huyện,lac_son,157,true,11
123,Huyện Yên Thủy,158,huyen_yen_thuy,huyện,yen_thuy,158,true,11
124,Huyện Lạc Thủy,159,huyen_lac_thuy,huyện,lac_thuy,159,true,11
125,Thành phố Thái Nguyên,164,thanh_pho_thai_nguyen,thành phố,thai_nguyen,164,true,12
126,Thành phố Sông Công,165,thanh_pho_song_cong,thành phố,song_cong,165,true,12
127,Huyện Định Hóa,167,huyen_dinh_hoa,huyện,dinh_hoa,167,true,12
128,Huyện Phú Lương,168,huyen_phu_luong,huyện,phu_luong,168,true,12
129,Huyện Đồng Hỷ,169,huyen_dong_hy,huyện,dong_hy,169,true,12
130,Huyện Võ Nhai,170,huyen_vo_nhai,huyện,vo_nhai,170,true,12
131,Huyện Đại Từ,171,huyen_dai_tu,huyện,dai_tu,171,true,12
132,Thị xã Phổ Yên,172,thi_xa_pho_yen,thị xã,pho_yen,172,true,12
133,Huyện Phú Bình,173,huyen_phu_binh,huyện,phu_binh,173,true,12
134,Thành phố Lạng Sơn,178,thanh_pho_lang_son,thành phố,lang_son,178,true,13
135,Huyện Tràng Định,180,huyen_trang_dinh,huyện,trang_dinh,180,true,13
136,Huyện Bình Gia,181,huyen_binh_gia,huyện,binh_gia,181,true,13
137,Huyện Văn Lãng,182,huyen_van_lang,huyện,van_lang,182,true,13
138,Huyện Cao Lộc,183,huyen_cao_loc,huyện,cao_loc,183,true,13
139,Huyện Văn Quan,184,huyen_van_quan,huyện,van_quan,184,true,13
140,Huyện Bắc Sơn,185,huyen_bac_son,huyện,bac_son,185,true,13
141,Huyện Hữu Lũng,186,huyen_huu_lung,huyện,huu_lung,186,true,13
142,Huyện Chi Lăng,187,huyen_chi_lang,huyện,chi_lang,187,true,13
143,Huyện Lộc Bình,188,huyen_loc_binh,huyện,loc_binh,188,true,13
144,Huyện Đình Lập,189,huyen_dinh_lap,huyện,dinh_lap,189,true,13
145,Thành phố Hạ Long,193,thanh_pho_ha_long,thành phố,ha_long,193,true,14
146,Thành phố Móng Cái,194,thanh_pho_mong_cai,thành phố,mong_cai,194,true,14
147,Thành phố Cẩm Phả,195,thanh_pho_cam_pha,thành phố,cam_pha,195,true,14
148,Thành phố Uông Bí,196,thanh_pho_uong_bi,thành phố,uong_bi,196,true,14
149,Huyện Bình Liêu,198,huyen_binh_lieu,huyện,binh_lieu,198,true,14
150,Huyện Tiên Yên,199,huyen_tien_yen,huyện,tien_yen,199,true,14
151,Huyện Đầm Hà,200,huyen_dam_ha,huyện,dam_ha,200,true,14
152,Huyện Hải Hà,201,huyen_hai_ha,huyện,hai_ha,201,true,14
153,Huyện Ba Chẽ,202,huyen_ba_che,huyện,ba_che,202,true,14
154,Huyện Vân Đồn,203,huyen_van_don,huyện,van_don,203,true,14
155,Thị xã Đông Triều,205,thi_xa_dong_trieu,thị xã,dong_trieu,205,true,14
156,Thị xã Quảng Yên,206,thi_xa_quang_yen,thị xã,quang_yen,206,true,14
157,Huyện Cô Tô,207,huyen_co_to,huyện,co_to,207,true,14
158,Thành phố Bắc Giang,213,thanh_pho_bac_giang,thành phố,bac_giang,213,true,15
159,Huyện Yên Thế,215,huyen_yen_the,huyện,yen_the,215,true,15
160,Huyện Tân Yên,216,huyen_tan_yen,huyện,tan_yen,216,true,15
161,Huyện Lạng Giang,217,huyen_lang_giang,huyện,lang_giang,217,true,15
162,Huyện Lục Nam,218,huyen_luc_nam,huyện,luc_nam,218,true,15
163,Huyện Lục Ngạn,219,huyen_luc_ngan,huyện,luc_ngan,219,true,15
164,Huyện Sơn Động,220,huyen_son_dong,huyện,son_dong,220,true,15
165,Huyện Yên Dũng,221,huyen_yen_dung,huyện,yen_dung,221,true,15
166,Huyện Việt Yên,222,huyen_viet_yen,huyện,viet_yen,222,true,15
