id,name,code,code_name,division_type,short_code_name,order,is_usable,master_district_id
1,Phường Phúc Xá,1,phuong_phuc_xa,phường,phuc_xa,1,true,1
2,Phường Trúc Bạch,4,phuong_truc_bach,phường,truc_bach,4,true,1
3,Phường Vĩnh Phúc,6,phuong_vinh_phuc,phường,vinh_phuc,6,true,1
4,Phường Cống Vị,7,phuong_cong_vi,phường,cong_vi,7,true,1
5,Phường Liễu Giai,8,phuong_lieu_giai,phường,lieu_giai,8,true,1
6,Phường Nguyễn Trung Trực,10,phuong_nguyen_trung_truc,phường,nguyen_trung_truc,10,true,1
7,Phường Quán Thánh,13,phuong_quan_thanh,phường,quan_thanh,13,true,1
8,Phường Ngọc Hà,16,phuong_ngoc_ha,phường,ngoc_ha,16,true,1
9,Phường Điện Biên,19,phuong_dien_bien,phường,dien_bien,19,true,1
10,Phường Đội Cấn,22,phuong_doi_can,phường,doi_can,22,true,1
11,Phường Ngọc Khánh,25,phuong_ngoc_khanh,phường,ngoc_khanh,25,true,1
12,Phường Kim Mã,28,phuong_kim_ma,phường,kim_ma,28,true,1
13,Phường Giảng Võ,31,phuong_giang_vo,phường,giang_vo,31,true,1
14,Phường Thành Công,34,phuong_thanh_cong,phường,thanh_cong,34,true,1
15,Phường Phúc Tân,37,phuong_phuc_tan,phường,phuc_tan,37,true,2
16,Phường Đồng Xuân,40,phuong_dong_xuan,phường,dong_xuan,40,true,2
17,Phường Hàng Mã,43,phuong_hang_ma,phường,hang_ma,43,true,2
18,Phường Hàng Buồm,46,phuong_hang_buom,phường,hang_buom,46,true,2
19,Phường Hàng Đào,49,phuong_hang_dao,phường,hang_dao,49,true,2
20,Phường Hàng Bồ,52,phuong_hang_bo,phường,hang_bo,52,true,2
21,Phường Cửa Đông,55,phuong_cua_dong,phường,cua_dong,55,true,2
22,Phường Lý Thái Tổ,58,phuong_ly_thai_to,phường,ly_thai_to,58,true,2
23,Phường Hàng Bạc,61,phuong_hang_bac,phường,hang_bac,61,true,2
24,Phường Hàng Gai,64,phuong_hang_gai,phường,hang_gai,64,true,2
25,Phường Chương Dương,67,phuong_chuong_duong,phường,chuong_duong,67,true,2
26,Phường Hàng Trống,70,phuong_hang_trong,phường,hang_trong,70,true,2
27,Phường Cửa Nam,73,phuong_cua_nam,phường,cua_nam,73,true,2
28,Phường Hàng Bông,76,phuong_hang_bong,phường,hang_bong,76,true,2
29,Phường Tràng Tiền,79,phuong_trang_tien,phường,trang_tien,79,true,2
30,Phường Trần Hưng Đạo,82,phuong_tran_hung_dao,phường,tran_hung_dao,82,true,2
31,Phường Phan Chu Trinh,85,phuong_phan_chu_trinh,phường,phan_chu_trinh,85,true,2
32,Phường Hàng Bài,88,phuong_hang_bai,phường,hang_bai,88,true,2
33,Phường Phú Thượng,91,phuong_phu_thuong,phường,phu_thuong,91,true,3
34,Phường Nhật Tân,94,phuong_nhat_tan,phường,nhat_tan,94,true,3
35,Phường Tứ Liên,97,phuong_tu_lien,phường,tu_lien,97,true,3
36,Phường Quảng An,100,phuong_quang_an,phường,quang_an,100,true,3
37,Phường Xuân La,103,phuong_xuan_la,phường,xuan_la,103,true,3
38,Phường Yên Phụ,106,phuong_yen_phu,phường,yen_phu,106,true,3
39,Phường Bưởi,109,phuong_buoi,phường,buoi,109,true,3
40,Phường Thụy Khuê,112,phuong_thuy_khue,phường,thuy_khue,112,true,3
41,Phường Thượng Thanh,115,phuong_thuong_thanh,phường,thuong_thanh,115,true,4
42,Phường Ngọc Thụy,118,phuong_ngoc_thuy,phường,ngoc_thuy,118,true,4
43,Phường Giang Biên,121,phuong_giang_bien,phường,giang_bien,121,true,4
44,Phường Đức Giang,124,phuong_duc_giang,phường,duc_giang,124,true,4
45,Phường Việt Hưng,127,phuong_viet_hung,phường,viet_hung,127,true,4
46,Phường Gia Thụy,130,phuong_gia_thuy,phường,gia_thuy,130,true,4
47,Phường Ngọc Lâm,133,phuong_ngoc_lam,phường,ngoc_lam,133,true,4
48,Phường Phúc Lợi,136,phuong_phuc_loi,phường,phuc_loi,136,true,4
49,Phường Bồ Đề,139,phuong_bo_de,phường,bo_de,139,true,4
50,Phường Sài Đồng,142,phuong_sai_dong,phường,sai_dong,142,true,4
51,Phường Long Biên,145,phuong_long_bien,phường,long_bien,145,true,4
52,Phường Thạch Bàn,148,phuong_thach_ban,phường,thach_ban,148,true,4
53,Phường Phúc Đồng,151,phuong_phuc_dong,phường,phuc_dong,151,true,4
54,Phường Cự Khối,154,phuong_cu_khoi,phường,cu_khoi,154,true,4
55,Phường Nghĩa Đô,157,phuong_nghia_do,phường,nghia_do,157,true,5
56,Phường Nghĩa Tân,160,phuong_nghia_tan,phường,nghia_tan,160,true,5
57,Phường Mai Dịch,163,phuong_mai_dich,phường,mai_dich,163,true,5
58,Phường Dịch Vọng,166,phuong_dich_vong,phường,dich_vong,166,true,5
59,Phường Dịch Vọng Hậu,167,phuong_dich_vong_hau,phường,dich_vong_hau,167,true,5
60,Phường Quan Hoa,169,phuong_quan_hoa,phường,quan_hoa,169,true,5
61,Phường Yên Hoà,172,phuong_yen_hoa,phường,yen_hoa,172,true,5
62,Phường Trung Hoà,175,phuong_trung_hoa,phường,trung_hoa,175,true,5
63,Phường Cát Linh,178,phuong_cat_linh,phường,cat_linh,178,true,6
64,Phường Văn Miếu,181,phuong_van_mieu,phường,van_mieu,181,true,6
65,Phường Quốc Tử Giám,184,phuong_quoc_tu_giam,phường,quoc_tu_giam,184,true,6
66,Phường Láng Thượng,187,phuong_lang_thuong,phường,lang_thuong,187,true,6
67,Phường Ô Chợ Dừa,190,phuong_o_cho_dua,phường,o_cho_dua,190,true,6
68,Phường Văn Chương,193,phuong_van_chuong,phường,van_chuong,193,true,6
69,Phường Hàng Bột,196,phuong_hang_bot,phường,hang_bot,196,true,6
70,Phường Láng Hạ,199,phuong_lang_ha,phường,lang_ha,199,true,6
71,Phường Khâm Thiên,202,phuong_kham_thien,phường,kham_thien,202,true,6
72,Phường Thổ Quan,205,phuong_tho_quan,phường,tho_quan,205,true,6
73,Phường Nam Đồng,208,phuong_nam_dong,phường,nam_dong,208,true,6
74,Phường Trung Phụng,211,phuong_trung_phung,phường,trung_phung,211,true,6
75,Phường Quang Trung,214,phuong_quang_trung,phường,quang_trung,214,true,6
76,Phường Trung Liệt,217,phuong_trung_liet,phường,trung_liet,217,true,6
